,GSM8391918_H23-Ctrl.CEL.gz,GSM8391919_H23-KRAS-C12.CEL.gz,GSM8391920_H358-Ctrl.CEL.gz,GSM8391921_H358-KRAS-C12.CEL.gz,GSM8391922_H1792-Ctrl.CEL.gz,GSM8391923_H1792-KRAS-C12.CEL.gz,GSM8391924_H441-Ctrl.CEL.gz,GSM8391925_H441-KRAS-V12.CEL.gz,GSM8391926_H1299-Ctrl.CEL.gz,GSM8391927_H1299-KRAS-C12.CEL.gz,GSM8391928_H1299-KRAS-V12.CEL.gz,GSM8398301_HBEC3.CEL.gz,GSM8398302_HBEC3-K.CEL.gz,GSM8398303_HBEC3-p53.CEL.gz,GSM8398304_HBEC3-p53K.CEL.gz
X202208_s_at,9.786107844,9.206372351,11.16551569,10.34646832,9.328372242,7.873127938,7.903058613,8.208717222,8.849814156,8.435135864,8.140822901,8.988160846,7.774127966,9.77487466,8.133651812
X202209_at,11.76076276,11.68425629,12.20931428,11.86371251,11.9015108,12.01845423,11.67861709,11.75494524,12.49756531,12.49016121,12.49687409,11.2834867,9.697967342,11.79203012,10.45575244
X202210_x_at,7.248690362,7.400622435,7.108156703,6.934976099,7.345198921,7.43924071,7.050118061,7.313618987,7.028095091,7.085582784,7.178983775,7.873177636,7.802279871,8.009816477,7.504689332
X202211_at,10.36399565,10.5663531,10.54153557,10.84213754,10.38946621,10.4137775,11.27492522,11.30138764,10.18504899,9.97556076,10.29645624,9.939985763,10.97493133,9.749871333,10.51340763
X202212_at,9.549274292,9.750888672,9.74755244,9.502305379,9.671881108,9.61632234,9.185138502,9.510981887,9.435156985,9.487870612,9.417413348,9.56864403,8.813865389,9.592475908,9.172429467
X202213_s_at,9.884996594,9.975103125,9.411179364,9.273974679,9.272420247,9.032667466,9.91848647,10.06077964,9.230083891,9.222620614,9.287902657,9.033501839,8.663429106,8.739203684,8.279673124
X202214_s_at,11.01435304,11.18851534,10.89781993,11.00165487,10.90223451,10.77682097,11.02835079,11.04214306,11.07331404,10.95696909,10.82284322,10.06044974,9.536264271,10.31829059,9.565493705
X202215_s_at,9.755572115,9.893768132,8.764604544,8.883982564,8.203341068,8.466371443,8.826035524,9.115183124,9.462650035,9.493746081,9.724414153,8.152366828,7.775458631,8.602702825,7.672183625
X202216_x_at,9.024980447,9.251405849,8.249536798,8.173272807,7.910501375,7.993750026,8.200457896,8.64726016,9.35496182,9.106462301,8.887529087,8.022283457,7.403011538,8.056204255,7.834722924
X202217_at,10.67802131,10.63403363,10.35468433,10.63403363,10.53689704,10.6043267,10.53584954,10.74469906,11.20255877,11.11729764,11.00963466,10.63403363,9.991001589,10.66999305,9.92879586
X202218_s_at,8.0066641,8.022554732,8.376508616,8.623501191,8.694246338,9.802962996,8.081441754,7.886935901,8.021873191,8.181979269,8.251726556,10.86615645,9.600270918,10.72341733,9.845439173
X202219_at,10.75644608,10.65792288,6.951674558,6.869020851,10.51004884,11.25781606,7.810869182,7.361205682,8.796404274,8.905013951,9.048838576,12.0292677,11.40868558,12.00660037,11.23667105
X202220_at,11.94203808,12.02819456,11.78980943,12.11366647,10.76115259,11.34587722,10.50238898,10.74267187,11.21452764,11.20114992,11.00820691,11.33670735,11.8849892,11.29155963,10.85130933
X202221_s_at,9.907949065,10.13247851,9.864236471,9.828064021,8.198812566,7.881532001,8.805785984,8.846408618,8.777206832,9.04031559,9.203916665,9.772579367,10.31923171,9.676395433,10.02997128
X202222_s_at,7.298798572,7.52161876,7.319120715,7.320262726,7.60934676,7.407644543,7.613355027,7.604961986,7.392292946,7.664119547,7.56926542,7.666887687,6.843246184,7.760075588,6.74012651
X202223_at,9.715320171,10.19969604,11.20947381,11.1366766,11.09071604,11.05480115,10.93554512,10.83651914,9.903773108,9.761874047,8.31848846,10.5454137,10.3850113,10.81390614,10.37294858
X202224_at,11.01202323,11.1389734,9.740359986,9.907916805,10.36928574,10.83595182,10.3161185,10.32682118,10.48442968,10.37433397,9.067518462,10.04497794,10.03611957,10.2604134,10.30240027
X202225_at,11.30691719,11.38619206,10.19226432,10.31434252,10.86533433,11.10748946,10.51514358,10.9204699,11.29143774,11.09387783,11.02603521,10.35047157,10.39009682,10.3631733,10.50353766
X202226_s_at,10.10722693,10.17110601,9.119972596,9.065969175,9.804108084,10.24199997,9.530816161,9.747202918,8.590485863,8.494083392,7.600005002,7.824951367,8.019098387,8.140141216,8.511917755
X202227_s_at,11.058005,11.18118558,10.49540172,10.72746522,10.6893787,10.79306241,10.94042225,11.06029873,11.89584414,11.93811475,12.10524572,11.40533108,10.68098281,11.68541155,10.56152885
X202228_s_at,11.86571799,12.0243021,12.83869661,12.94728676,12.25868731,12.2264247,12.9325233,12.90692341,11.5977137,11.55132914,11.55649718,12.66726844,12.64433567,12.81382823,12.60243541
X202229_s_at,5.997217077,6.378055466,6.38458286,6.401828858,6.502153793,6.401828858,6.155850486,6.401828858,6.433784323,6.112742347,6.245893754,6.48936057,6.655326649,6.739926089,6.616141365
X202230_s_at,11.3573099,11.31359057,11.36353107,11.25539576,11.08459096,10.98566641,11.47209497,11.05406845,11.24672941,11.25513092,11.24595478,11.03494841,10.70528617,10.90127679,10.43916067
